City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
361,bermejo,96,AR,1569398275,49,-22.73,-64.34,63.05,2.1
362,aksu,40,KZ,1569398275,30,52.04,76.93,55.4,8.95
363,baracoa,100,CU,1569398275,80,20.35,-74.5,79.79,4.47
364,ulagan,100,RU,1569398276,36,50.63,87.96,52.97,12.01
365,saint-georges,100,CA,1569398276,96,46.12,-70.67,50.0,6.55
366,cadillac,40,US,1569398276,72,44.25,-85.4,69.8,13.87
367,rio gallegos,0,AR,1569398276,53,-51.62,-69.22,50.0,8.05
368,turan,97,RU,1569398276,55,52.15,93.92,55.85,5.79
369,galdar,20,ES,1569398276,73,28.15,-15.65,71.6,18.34
370,isangel,42,VU,1569398277,71,-19.55,169.27,73.13,15.73
371,lethem,100,GY,1569398277,87,3.38,-59.8,75.29,9.75
372,smolenka,100,PL,1569398277,59,54.15,22.76,50.81,7.81
373,madang,39,CN,1569398277,46,35.32,102.79,47.93,8.25
374,kawalu,78,ID,1569398277,56,-7.38,108.21,79.25,9.15
375,iqaluit,75,CA,1569398277,78,63.75,-68.52,37.4,6.93
376,mollendo,32,PE,1569398277,82,-17.03,-72.02,60.35,7.78
377,manbij,0,SY,1569398277,36,36.53,37.96,77.0,4.7
378,goba,7,ET,1569398278,75,7.01,39.97,63.95,2.13
379,xiamen,20,CN,1569398278,40,24.46,118.07,86.0,6.71
380,tura,100,RU,1569398278,62,64.27,100.22,42.17,11.32
